ID;A_Nacimiento;Educacion;Estado Civil;Ingreso_medio;Hijos;Adolescentes;Fec_Cliente;Edad;MntVinos;MntFrutas;MntCarnes;MntPescados;MntDulces;MntPremiumProd;NumComprasPresenc;NumComprasWeb;NumComprasCatalog;NumComprasemail;NumWebVisitasMes;AcceptedCmp1;AcceptedCmp2;AcceptedCmp3;AcceptedCmp4;AcceptedCmp5;Reclamos;Z_Costo_Contacto;Facturado;Z_Utilidad;Tkt_prom;Respuesta
771;1967;Graduado;Conviviente;54178;0;1;21/01/2014;65;135;9;39;4;0;7;1;2;2;5;2;0;0;0;0;0;0;0;194;58.2;16.17;0
8996;1957;PhD;Casado;;2;1;19/11/2012;61;230;42;192;49;37;53;12;7;2;8;9;0;0;0;0;0;0;0;603;180.9;15.87;0
9235;1957;Graduado;Soltero;;1;1;27/05/2014;75;20;0;8;15;0;10;1;1;0;2;7;0;0;0;0;0;0;0;53;15.9;4.82;0
5798;1973;Master;Conviviente;;0;0;23/11/2013;60;445;37;359;98;28;18;1;2;4;8;1;0;0;0;0;0;0;0;985;295.5;61.56;0
11178;1972;Master;Soltero;42394;1;0;23/03/2014;50;15;2;10;0;1;4;1;1;0;3;7;0;0;0;0;0;0;0;32;9.6;2.67;0
2230;1970;PhD;Casado;23626;1;0;24/05/2014;1;27;2;14;0;0;0;3;3;1;3;5;0;0;0;0;0;0;0;43;12.9;2.87;0
7516;1983;Graduado;Casado;30096;1;0;22/05/2014;72;10;3;11;12;5;9;1;2;0;3;6;0;0;0;0;0;0;0;50;15;4.17;0
7247;1960;Graduado;Divorciada;47916;0;1;22/11/2012;58;505;0;26;0;0;75;5;7;4;6;6;0;1;0;0;0;0;50;606;196.8;21.64;1
11100;1972;Graduado;Divorciado;51813;1;1;11/04/2013;22;51;2;7;0;1;2;2;2;0;3;7;0;0;0;0;0;0;0;63;18.9;4.50;0
4646;1951;Postgrado;Casado;78497;0;0;01/12/2013;50;207;26;447;75;0;223;1;5;7;12;2;0;0;0;1;0;0;50;978;308.4;36.22;1
3037;1983;PhD;Casado;50150;0;0;20/06/2013;71;135;46;92;65;61;11;2;5;2;7;5;0;0;0;0;0;0;0;410;123;19.52;0
1473;1960;Postgrado;Soltero;47823;0;1;23/07/2013;26;53;1;5;2;1;10;2;2;0;3;8;0;0;0;0;0;0;0;72;21.6;4.80;0
1016;1959;PhD;Soltero;34554;0;1;30/03/2014;27;41;1;6;2;0;5;2;2;0;3;6;0;0;0;0;0;0;0;55;16.5;4.23;0
4518;1979;Graduado;Conviviente;85693;0;1;20/04/2013;40;386;172;183;185;132;111;2;9;5;11;5;0;0;0;0;0;0;0;1169;350.7;36.53;0
9370;1945;PhD;Casado;65846;0;0;17/05/2013;38;562;81;276;80;40;81;1;6;3;6;4;0;0;0;0;0;0;0;1120;336;56.00;0
8908;1959;Graduado;Casado;87195;0;0;08/05/2014;25;217;76;690;50;26;38;1;3;11;5;1;0;0;0;0;0;0;0;1097;329.1;52.24;0
8373;1979;Secundaria;Conviviente;24594;1;0;10/12/2013;21;5;3;6;10;0;9;1;1;0;3;5;0;0;0;0;0;0;0;33;9.9;3.30;0
7533;1964;Graduado;Casado;49096;1;1;24/09/2013;78;144;1;32;2;1;7;4;4;1;4;7;0;0;0;0;0;0;0;187;56.1;9.35;0
2683;1969;Graduado;Casado;52413;0;2;02/02/2013;58;295;106;271;75;98;65;4;6;4;12;6;0;0;0;0;0;0;0;910;273;28.44;0
3629;1978;Graduado;Soltero;38557;1;0;19/12/2012;74;76;3;31;4;4;27;2;3;1;3;7;0;0;0;0;0;0;0;145;43.5;9.06;0
10991;1960;Master;Casado;89058;0;0;07/12/2012;56;454;194;106;31;22;43;1;5;4;4;2;0;0;0;0;0;0;0;850;255;53.13;0
5077;1979;Graduado;Conviviente;77298;0;1;02/11/2013;59;425;115;292;23;35;79;1;6;6;11;3;0;0;0;0;0;0;0;969;290.7;35.89;0
7431;1991;PhD;Soltero;68126;0;0;10/11/2012;57;1332;17;311;23;51;86;1;7;4;5;9;0;1;0;0;0;0;50;1820;561;70.00;1
3267;1963;Master;Conviviente;57288;0;1;25/06/2014;26;527;0;21;0;0;60;3;8;1;8;6;0;1;0;0;0;0;50;608;197.4;23.38;1
999;1991;Graduado;Soltero;86037;0;0;02/01/2013;48;490;44;125;29;20;22;1;6;7;11;3;0;1;1;0;0;0;100;730;249;26.07;1
9215;1980;PhD;Casado;43974;1;0;12/12/2012;39;378;0;101;0;0;72;5;6;4;6;7;0;0;0;0;0;0;0;551;165.3;19.68;0
2286;1962;Graduado;Soltero;50785;1;1;10/09/2013;33;64;1;21;0;1;27;2;2;1;3;6;0;0;0;0;0;0;0;114;34.2;8.14;0
1592;1970;Graduado;Casado;90765;0;0;24/01/2014;54;547;99;812;151;82;33;0;4;6;5;1;0;0;1;1;0;0;100;1724;547.2;107.75;1
367;1978;Postgrado;Casado;36550;1;0;19/02/2013;59;47;90;94;123;103;120;5;9;1;5;9;0;0;0;0;0;0;0;577;173.1;19.90;0
5234;1967;Postgrado;Conviviente;30753;1;1;11/07/2013;74;12;5;25;0;9;30;2;1;1;3;5;0;0;0;0;0;0;0;81;24.3;6.75;0
9862;1969;Graduado;Conviviente;21918;1;0;14/11/2013;0;20;6;7;11;5;3;2;2;0;3;6;0;0;0;0;0;0;0;52;15.6;4.00;0
9805;1953;Master;Conviviente;56129;0;1;20/06/2013;50;320;48;133;39;72;48;4;6;2;10;4;0;0;0;0;0;0;0;660;198;25.38;0
6205;1967;Master;Soltero;32557;1;0;24/02/2014;72;34;3;29;0;4;10;3;2;1;3;5;0;0;0;0;0;0;0;80;24;5.71;0
8442;1985;Master;Casado;19510;2;0;04/09/2013;44;15;0;7;3;4;7;2;1;0;3;7;0;0;0;0;0;0;0;36;10.8;2.77;0
7386;1976;Graduado;Divorciado;30992;1;0;22/04/2013;53;17;0;14;7;3;2;1;1;0;3;7;0;0;0;0;0;0;0;43;12.9;3.58;0
7215;1983;Graduado;Soltero;101970;0;0;12/03/2013;73;722;27;102;44;72;168;0;6;8;13;2;0;1;1;1;0;0;150;1135;385.5;39.14;1
1491;1965;Postgrado;Conviviente;71488;0;0;18/02/2013;36;162;33;124;40;28;172;2;3;4;7;1;0;0;0;0;0;0;0;559;167.7;32.88;0
11071;1984;Graduado;Soltero;79607;0;0;21/04/2013;51;450;133;951;173;0;216;1;3;6;6;1;0;0;0;0;0;0;0;1923;576.9;113.12;0
3381;1953;Master;Casado;54348;1;1;08/06/2014;26;70;0;16;0;0;4;2;2;0;4;6;0;0;0;0;0;0;0;90;27;6.43;0
8268;1961;PhD;Casado;;0;1;11/07/2013;47;352;0;27;10;0;15;3;6;1;7;6;0;0;0;0;0;0;0;404;121.2;17.57;0
11051;1956;PhD;Conviviente;77376;1;1;10/05/2014;25;492;19;110;16;12;12;4;6;3;10;4;0;0;0;0;0;0;0;661;198.3;24.48;0
8026;1952;Graduado;Casado;62998;0;1;30/09/2013;42;120;58;73;65;89;58;5;5;4;5;5;0;0;0;0;0;0;0;463;138.9;19.29;0
433;1958;Master;Solo;61331;1;1;10/03/2013;43;534;5;47;0;5;41;5;11;1;6;8;0;0;0;0;0;0;0;632;189.6;20.39;0
9597;1969;Graduado;Casado;73448;0;0;10/02/2014;22;236;106;189;23;41;130;1;7;2;9;4;0;0;0;0;0;0;0;725;217.5;31.52;0
1295;1963;Graduado;Casado;;0;1;11/08/2013;28;231;65;196;38;71;124;1;6;5;7;4;0;0;0;0;0;0;0;725;217.5;31.52;0
5290;1964;PhD;Casado;41551;1;1;14/08/2013;33;220;0;33;3;0;23;5;5;1;5;8;0;0;0;0;0;0;0;279;83.7;11.63;0
1685;1967;PhD;Conviviente;62981;0;0;17/03/2013;35;796;14;590;38;44;0;1;4;5;13;3;0;1;0;0;0;0;50;1482;459.6;57.00;1
5342;1976;Secundaria;Divorciado;9548;1;0;08/08/2012;19;0;1;3;10;6;9;2;1;0;3;8;0;0;0;0;0;0;0;29;8.7;2.07;0
9579;1959;PhD;Casado;33762;2;1;07/07/2013;54;53;1;34;2;0;16;3;2;2;2;8;0;0;0;0;0;0;0;106;31.8;6.24;0
7660;1973;PhD;Solo;35860;1;1;19/05/2014;60;15;0;8;4;2;20;2;1;1;2;5;1;0;0;0;0;0;50;49;29.7;4.45;1
1461;1965;PhD;Divorciado;36921;1;1;28/07/2013;26;17;1;12;3;1;4;2;2;0;3;7;0;0;0;0;0;0;0;38;11.4;2.71;0
821;1992;Master;Soltero;92859;0;0;19/10/2012;65;962;61;921;52;61;20;1;5;4;12;2;0;0;0;0;0;0;0;2077;623.1;86.54;0
11084;1976;Master;Conviviente;65104;0;1;14/11/2013;33;738;0;232;13;20;50;2;3;5;7;7;0;0;0;0;0;0;0;1053;315.9;43.88;0
8690;1962;Graduado;Casado;86111;0;0;19/04/2013;49;399;28;756;36;40;126;1;5;7;10;2;0;0;0;0;0;0;0;1385;415.5;55.40;0
2937;1974;PhD;Soltero;68352;0;1;28/08/2013;47;614;16;132;43;33;33;3;8;5;9;6;0;0;0;0;0;0;0;871;261.3;28.10;0
9701;1988;Graduado;Conviviente;41883;1;0;19/03/2013;64;32;34;41;73;16;116;3;4;2;3;7;0;0;0;0;0;0;0;312;93.6;16.42;0
9949;1976;Graduado;Casado;59809;0;2;18/10/2012;21;598;16;141;32;41;49;3;3;3;6;8;0;0;0;0;0;0;0;877;263.1;38.13;0
10837;1975;Graduado;Casado;23957;1;0;28/10/2012;79;15;1;18;20;11;16;1;2;0;3;6;0;0;0;0;0;0;0;81;24.3;6.75;0
3120;1981;Graduado;Conviviente;38547;1;0;28/08/2013;26;10;1;10;0;1;4;1;1;0;2;8;0;0;0;0;0;1;0;26;7.8;2.17;0
5885;1973;Postgrado;Casado;35688;2;1;22/08/2012;45;73;3;90;12;1;32;7;4;1;4;8;0;0;0;0;0;0;0;211;63.3;8.79;0
4050;1966;Master;Casado;49605;0;0;21/06/2014;30;42;16;29;12;20;8;1;2;1;4;3;0;0;0;0;0;0;0;127;38.1;11.55;0
3830;1953;Master;Casado;59354;0;2;24/04/2014;75;295;21;78;39;13;13;1;4;4;7;3;0;0;0;0;0;0;0;459;137.7;24.16;0
7987;1969;Graduado;Casado;65747;0;1;07/03/2014;28;346;17;48;23;13;13;4;8;1;6;6;0;1;0;0;0;0;50;460;153;18.40;1
7798;1972;Postgrado;Conviviente;46344;0;1;14/12/2012;42;233;20;57;8;20;91;4;7;1;5;7;0;0;0;0;0;0;0;429;128.7;17.88;0
92;1988;Graduado;Solo;34176;1;0;12/05/2014;44;10;7;24;19;14;20;4;3;0;4;6;0;0;0;0;0;0;0;94;28.2;5.53;0
7055;1952;PhD;Conviviente;61010;0;1;09/10/2012;31;888;0;57;0;0;76;2;8;5;11;5;0;0;0;0;0;0;0;1021;306.3;32.94;0
10240;1949;Graduado;Conviviente;69372;0;0;19/02/2013;45;997;26;269;34;13;42;1;10;4;6;4;0;1;1;0;0;0;100;1381;444.3;55.24;1
3025;1958;Graduado;Soltero;49967;0;1;08/07/2013;58;212;6;69;4;12;3;3;6;1;5;7;0;0;0;0;0;0;0;306;91.8;13.91;0
9283;1978;Graduado;Soltero;60199;1;2;12/09/2013;60;5;1;7;2;0;0;1;0;0;3;4;0;0;0;0;0;0;0;15;4.5;1.88;0
9970;1977;Graduado;Conviviente;55375;0;1;17/10/2013;79;42;11;57;10;28;14;1;1;1;6;2;0;0;0;0;0;0;0;162;48.6;14.73;0
2730;1955;Graduado;Soltero;80317;0;0;20/08/2013;72;536;11;387;149;91;57;1;3;4;10;1;0;0;0;0;0;0;0;1231;369.3;64.79;0
2795;1958;Master;Soltero;30523;2;1;01/07/2013;61;20;0;3;0;0;5;1;1;0;2;7;0;0;0;0;0;0;0;28;8.4;2.55;0
9260;1945;PhD;Casado;70356;0;0;05/11/2012;56;1349;16;249;43;16;33;2;10;6;9;6;0;0;0;0;0;0;0;1706;511.8;51.70;0
8182;1984;Graduado;Casado;23228;1;0;05/01/2014;36;53;3;49;7;4;5;4;3;0;4;8;0;0;0;0;0;0;0;121;36.3;6.37;0
10095;1975;PhD;Divorciado;74165;0;0;01/05/2013;68;1001;12;240;16;12;12;1;5;4;10;2;0;0;0;0;0;0;0;1293;387.9;58.77;0
8475;1973;PhD;Casado;157243;0;1;01/03/2014;27;20;2;1582;15;2;10;15;0;22;0;0;0;0;0;0;0;0;0;1631;489.3;44.08;0
4370;1966;Graduado;Conviviente;43482;2;1;13/11/2013;78;18;1;32;6;3;28;3;2;0;4;6;0;0;0;0;0;0;0;88;26.4;5.87;0
10573;1953;Graduado;Divorciado;62551;0;0;18/11/2013;27;125;16;98;134;21;27;1;6;7;4;3;1;0;0;0;0;0;50;421;141.3;20.05;1
3712;1959;Graduado;Divorciado;52332;0;0;28/08/2013;26;212;5;33;7;0;2;1;3;2;6;4;0;1;0;0;0;0;50;259;92.7;16.19;1
6637;1988;Graduado;Soltero;66951;0;0;02/11/2013;64;277;162;305;173;76;124;1;3;4;7;1;0;0;0;0;0;0;0;1117;335.1;69.81;0
3152;1957;Graduado;Conviviente;26091;1;1;25/02/2014;56;15;10;19;8;17;20;3;2;1;3;5;0;0;0;0;0;0;0;89;26.7;6.36;0
